date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:30:55	526258/526258	---M--	200	added ('OK')	image/jpeg	date:Fri,%2013%20Sep%202019%2005:29:10%20GMT	https://song-spells.com/img/bg-masthead-2.jpg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/bg-masthead-2.jpg	(from https://song-spells.com/css/styles.css)
09:30:55	7228/7228	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Sep%202019%2005:29:10%20GMT	https://song-spells.com/img/bg-icons.png	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/img/bg-icons.png	(from https://song-spells.com/css/styles.css)
09:30:55	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2002%20Mar%202019%2005:54:10%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.eot	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.eot	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:30:55	125320/125320	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2002%20Mar%202019%2005:54:10%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.eot?	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400d41d.eot	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:30:56	72124/72124	---M--	200	added ('OK')	font/woff2	date:Sat,%2002%20Mar%202019%2005:54:15%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.woff2	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.woff2	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:30:56	84564/84564	---M--	200	added ('OK')	font/woff	date:Sat,%2002%20Mar%202019%2005:54:15%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.woff	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.woff	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:30:56	125016/125016	---M--	200	added ('OK')	font/ttf	date:Sat,%2002%20Mar%202019%2005:54:17%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.ttf	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.ttf	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:30:57	400640/400640	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2002%20Mar%202019%2005:54:09%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300.eot	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300.eot	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:30:57	660013/660013	---M--	200	added ('OK')	image/svg+xml	date:Sat,%2002%20Mar%202019%2005:54:08%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.svg	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-brands-400.svg	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:30:57	400640/400640	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2002%20Mar%202019%2005:54:09%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300.eot?	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300d41d.eot	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:30:58	156980/156980	---M--	200	added ('OK')	font/woff2	date:Sat,%2002%20Mar%202019%2005:54:06%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300.woff2	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300.woff2	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:30:58	207132/207132	---M--	200	added ('OK')	font/woff	date:Sat,%2002%20Mar%202019%2005:54:14%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300.woff	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300.woff	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:31:00	369480/369480	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Sat,%2002%20Mar%202019%2005:54:17%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-regular-400.eot	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-regular-400.eot	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:31:01	400360/400360	---M--	200	added ('OK')	font/ttf	date:Sat,%2002%20Mar%202019%2005:54:13%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300.ttf	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-light-300.ttf	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:31:02	145052/145052	---M--	200	added ('OK')	font/woff2	date:Sat,%2002%20Mar%202019%2005:54:04%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-regular-400.woff2	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-regular-400.woff2	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
09:31:02	191432/191432	---M--	200	added ('OK')	font/woff	date:Sat,%2002%20Mar%202019%2005:54:10%20GMT	https://song-spells.com/vendor/fontawesome-pro/webfonts/fa-regular-400.woff	C:/Mijn%20Web%20paginas/Smile&Magie/song-spells.com/vendor/fontawesome-pro/webfonts/fa-regular-400.woff	(from https://song-spells.com/vendor/fontawesome-pro/css/all.min.css)
